Sl.No,Language,Language,Exam,Question,Answer Link,,,,,,,,,,,
45,java,selenium,ict,selenium ict 11 ticket booking invalid,https://mega.nz/file/MxxzzABS#eq22DNeMwKUDxu6oHNIFDel8PryDf2OxOg4fXXQ1LPY,10,,,,,,,,,,
46,java,selenium,ict,selenium ict 11 online shopping invalid ,https://mega.nz/file/Ro4HRAoR#sTPieUNP_9c4HNItGmDFoE0CBwSxHS0wK0tsH3Uy7IQ  https://mega.nz/file/d9pCjQxJ#ZfmQzzULt79Nc6MxrZkDZcyLt9h45gQGhRQe2bUWAeg ,10,,,,,,,,,,
47,java,selenium,ict,hotel booking valid ict 11 selenium,https://mega.nz/file/xtoWDYqZ#9DGaaJVWafTAdgKAZPI3XNnWrLu7sbpZEzcIF1BrgLE,10,,,,,,,,,,
48,java,spring boot,cc,Parcel service spring  boot mvc java code challenge,https://mega.nz/file/Z5wC3I4J#nJMsB6CSKQfOVyz1kXM0VdBdIjqULGC5XddcCshWEuU,10,,,,,,,,,,
49,java,spring mvc,cc,house boat reservation new tested spring mvc with spring boot java code challenge,https://mega.nz/file/YkwSEKpJ#EwomlQJ-8yPVR1Q9I1ocAjnaV9Mw9sMBRhuC-tGuia0  https://mega.nz/file/s0hCRCBZ#wYK8kxE9TpJ4BZAUZ1Cgq55j928rFStZt7dBcOvicNk ,15,,,,,,,,,,
50,java,spring mvc,cc,irctc set1 springmvc with spring boot java code challenge,https://mega.nz/folder/xtYljKpR#NDEWDqjkOJdGYqeeVc3LnA   https://mega.nz/file/kt4kiIZC#7IOUCJwSlVzvlw1gXkSFnTn8S55Q9Nen-vrm-Y7owA8 ,15,,,,,,,,,,
51,java,spring mvc,cc,marathon enrolment spring mvc with spring boot java code challenge,https://mega.nz/file/osggSaKR#HWacZRo_602VklwgRikrrQRREh_EtJxHJugXsxEuxoc   ,10,,,,,,,,,,
52,java,spring mvc,cc,shopping application new tested spring mvc with spring boot java code challenge,https://mega.nz/file/opgQDaBL#TpeCcgcCvY67qwTWduY4r0810XVzyWjwnu4703IunZA   https://mega.nz/file/p44WTCrA#Zxaw7_7_xedRoReJSeRIlHYNtNF36KccAHOUJIPkcUQ ,15,,,,,,,,,,
53,java,spring mvc,cc,customer issue tracker spring mvc with spring boot java code challenge,https://mega.nz/file/c0wk0J4Y#RffldTL-KoBGfzd3_pbDpps3RMHeC6qPPxxb6aKWUj8  https://mega.nz/file/s4gGjL7L#rlB3rvAiOtMXrkC_Zi6rF653fSzgJpuBcp8WFfBE320 ,15,,,,,,,,,,
54,java,spring mvc,ict,construction cost time estimation spring mvc java ict ,   https://mega.nz/file/whw2nZ5L#onVjLQ2rXN9NQaZ0FO27E8L0KAUW9KPXqxo62xCRvMM,15,,,,,,,,,,
55,java,spring,ict,uno java ICT,https://mega.nz/file/Y852FYrL#SEX_HldH-kx1hMFnZePXm5VOEKzdx8j9phfqQ-wkl28,15,,,,,,,,,,
56,java,spring mvc,cc,painting service spring mvc code challenge not sure on it marks,https://mega.nz/file/A44UjKaC#ZWk_CPGIySXkDyBSlZ0v8N74l-pPQ6wSr7bzO9cG4sU,5,,,,,,,,,,
57,java,spring mvc,cc,traffic chalan spring mvc with spring boot java code challenge,https://mega.nz/file/h1gklRya#rYnq8jDHeRem_TlSyhT9Bv_qTySXm317ECjVsqiw81o,10,,,,,,,,,,
58,java,spring mvc,cc,quick appointment service spring mvc with spring boot java code challenge ,  https://mega.nz/folder/4gQQxLAR#Blmm-dEWvvsND7enW7bvJg   https://mega.nz/file/hgpinb6K#pBZ8SSJmbbhtrnN6mucSkC4zGnSXU3-hyCtx2Jskd9c,15,,,,,,,,,,
59,java,spring mvc,cc,online help service soringmvc with spring boot java code challenge of online service,https://mega.nz/file/Vkp0DTpJ#_BCNUChzkaIwoDWzwwiIWNDILROGExZGCzgBekWNR2k,10,,,,,,,,,,
60,dotnet,asp.net mvc,cc,Book my show post asp.net mvc code challenge,https://mega.nz/folder/d0h2ATrA#eUj_R4p-GNCZvP1rqnN6oQ,10,,,,,,,,,,
61,dotnet,asp.net mvc,cc,car pool asp mvc with model binding code challenge,https://mega.nz/folder/ppw2SLwJ#flgmTeQB7noE5OCIKQMJrg,10,,,,,,,,,,
62,dotnet,asp.net mvc,cc,cricket info partial view asp mvc code challenge,https://mega.nz/folder/Rk5UkbxD#NyiEms-Wc5wbTiS6cmbGog,10,,,,,,,,,,
63,dotnet,asp.net mvc,cc,EBBill Calculation - POST_HTML Helper asp mvc code challenge,https://mega.nz/folder/t4wmCTTL#aeW2WGnoJKBzabU0LIw6Eg,10,,,,,,,,,,
64,dotnet,asp.net mvc,cc,employee details using asp mvc entity framework code challenge,https://mega.nz/folder/Jhxwyb5B#6JGwN1-69pd-Wl9Kmy6D3Q,10,,,,,,,,,,
65,dotnet,asp.net mvc ,cc,pages for bank banking application partial view asp mvc ef code challenge,https://mega.nz/folder/4l4wCD5D#Nyw6Idk8jEOEhYT8D7jOkA,10,,,,,,,,,,
66,rdp,ad/avm,kba,Ad avm kba rdp ,https://mega.nz/file/opQD2apK#WwTD1m-TReb9Pp5jvspVp5q5zOfy_GeDP1Ol0yTVE2A,50,,,,,,,,,,
67,rdp,agile ,kba,agile software kba rdp,https://mega.nz/file/E5IhVQAJ#tozn3YPpfzk_9UcjivwmIkIWT97--1jSyM8NbmAHM5M,30,,,,,,,,,,
68,rdp,asp.net,kba,asp.net mvc kba rdp,https://mega.nz/file/YgIlFSLJ#1DZcVmqWMSfQmbR77K-EULN1andv433aKxDrcHLPTJM,30,,,,,,,,,,
69,rdp,bfs,kba,banking and financial system bfs rdp kba ,https://mega.nz/file/k5Ih1aKb#tsvYIIpxxuP_zYsoLm9BQ8D-AZcUcDXaAQ9dn2OJ9o0,30,,,,,,,,,,
70,rdp,csharp,kba and sba,c# csharp kba and sba advanced rdp,https://mega.nz/file/Bkoi3QqB#EWqrpscGg_28b9hRnSj3H3Ie4yVWyVdC8obV7lrMLSQ,50,,,,,,,,,,
71,rdp,csharp,kba and sba,c# csharp kba and sba fundamental rdp,https://mega.nz/file/8x4yBQZR#K6_fb59dkS_-hNNBbBb6C6Tv6HQ1iT1vFDFJ16F31R4,50,,,,,,,,,,
72,rdp,java,kba and sba,core java kba and sba rdp ,https://mega.nz/file/R4o0WaQB#tOsvYpxeHOPyU0rNEnG9NcFHp2qNFJJO_AQ8-PdaTGQ,60,,,,,,,,,,
73,rdp,cucumber,kba and sba,cucumber kba and sba rdp,https://mega.nz/file/o4wQESCS#xZFaXxXnVKHrNKFuW2DyZUC_FzF1_0DD-oOb0kgGiMc,50,,,,,,,,,,
74,rdp,fitnesse,kba and sba,fitnesse kba and sba rdp,https://mega.nz/file/l4hmCISQ#PaECDoVk5of_ZWoeaX09-NgO8VK6COfz88YlIa5yKqw,50,,,,,,,,,,
75,rdp,functional testing,excel,functional testing excel user scenario rdp,https://mega.nz/file/Zxx2lILI#CPYWTUyQc_ae4StlNSNSO1lMif1l_FZe2labmT-79Og,40,,,,,,,,,,
76,rdp,java,ebox,java ebox rsp,https://mega.nz/file/N4xm1Sjb#6XgVYvy8chPs0ZQAePOkeoUItH2S4ujxtsxAB9TWxXk,50,,,,,,,,,,
77,rdp,js,kba and sba,javascript jsp kba and sba rdp,https://mega.nz/file/cs5AzSyL#JjtxbEyVWeV-iAsF3uRAGO24ZrQveeveyY1e7l9PCjw,60,,,,,,,,,,
78,rdp,jira,kba,jira kba rdp,https://mega.nz/file/wg5iUCbB#0ObYmCsIuLZ99jpVrh0FSGpqi-_yL-IlYca12EEcbqA,50,,,,,,,,,,
79,rdp,junit,kba and sba,junit kba and sba rdp ,https://mega.nz/file/R5oghYSC#J_JLNMeuAH0n9G1vazoPE2J8dzIgXaMuEIzqzf_78IU,50,,,,,,,,,,
80,rdp,testing,excel,manual testing excel user scenario rdp,https://mega.nz/file/ktowQKBK#ZeM-4L-AsTPGF_04hdJAhAkD8tTkuHSQDPlA1iqvUpk,50,,,,,,,,,,
81,rdp,manufacturing,kba,manufacturing kba rdp,https://mega.nz/file/UspwgYxI#8brneyqGPQrlnj5-9q_OU-k7A7wtF4DP4svUlg72wVQ,40,,,,,,,,,,
82,rdp,maven,kba,maven kba rdp,https://mega.nz/file/xk4WlKJD#MqPejJhw-mfrIpSe40eBh7JJsTNs-MlBRNQrJoHMNv8,15,,,,,,,,,,
83,rdp,plsql,kba,oracle plsql rdp,https://mega.nz/file/NgpETIqS#DfynvpkhYOE63zzA7zN9RHiMXyLWwZFPgMWb629F1Lc,40,,,,,,,,,,
84,rdp,selenium,kba and sba,selenium kba and sba with excel rdp,https://mega.nz/file/1t5QRSKQ#bNO3TS2CdaIbtAom-_tmz1QIfLPlCpXhnyZyYTy_UVE,60,,,,,,,,,,
85,rdp,spring,kba,spring hibernate kba rdp,https://mega.nz/file/Vkh0jKCJ#Cie-ULEFGTS97hecRaCiatrUGMepAm305tiorHyC99Y,30,,,,,,,,,,
86,rdp,sql,kba and sba,Sql sba and kba genc rdp ,https://mega.nz/file/UhogjQ6J#VaoU8TUKdV18xk11brZ4kVGCUvcOyluRwHbvls72Zg0,60,,,,,,,,,,
87,rdp,english,kba,Advance english step plus genc kba ,https://mega.nz/file/Uw5gjKhL#3RoYSkiB58OW7QFQvo9Yf7312V2OZy29RLexPv9Uwes,50,,,,,,,,,,
88,rdp,scm,kba,supply chain management kba rdp,https://mega.nz/file/d540yKgK#aZ8hxsvOWPa0jimjILMeYszC79bO8VdLNQpoYrAlP2k,50,,,,,,,,,,
89,rdp,testing,kba,testing kba rdp,https://mega.nz/file/15oUSIKJ#qsey5FDnMKoTBZrMCqKEvC9J64vLxM4RH-7E62dQW9w,30,,,,,,,,,,
90,dotnet,asp.net mvc ,cc,weekly bonus asp mvc code challenge,https://mega.nz/folder/J9xkQKgS#R_8LX-o9mRpOGQsdBI-l-Q,10,,,,,,,,,,
91,dotnet,aps.net mvc,cc,myshow asp mvc code challenge,https://mega.nz/folder/J9xkQKgS#R_8LX-o9mRpOGQsdBI-l-Q,10,,,,,,,,,,
92,java,spring mvc ,handson,age calculator spring mvc with spring boot code challenge,https://mega.nz/file/h9w2iCTD#yZu3FOK4ysRo3fzDPGTIJegY0XnCO_tUDA3qt1Jtl80,5,,,,,,,,,,
93,java,spring mvc,handson,Baking o cake service spring mvc with soring boot handson,https://mega.nz/file/gow2kIoS#bvaVC7XlqV6oc3y9Cy7vDMotfmH-nyZ30Wiywmw98ks,5,,,,,,,,,,
94,java,spring mvc,handson,body mass index bmi spring mvc with spring boot handson,https://mega.nz/file/ws4gwABD#4hVpRYRnqClW6oIjuxyLErxkhtEPYhxtR28ikRknaxg,5,,,,,,,,,,
95,java,spring mvc,handson,front end internationalization spring mvc with spring boot handson,https://mega.nz/file/h9pSxaqL#_uqcK2G0YKnKYdvoH1HaIKG0bvbTAXlZc2kcF8pG3TU,5,,,,,,,,,,
96,java,spring mvc,handson,holiday party validation spring mvc with spring boot handson,https://mega.nz/file/o0hkySIA#UK9nHt4brwiOe3Ca3Frg9ynPuCY9JKcOuGtggSkYdx0,5,,,,,,,,,,
97,java,spring mvc,handson,zee zee login handson spring mvc with spring boot,https://mega.nz/file/EwgS3CjK#FNbkJnfQuMxiOVuJx-jiKPpkKVuqoC4A4puURx29s-E,10,,,,,,,,,,
113,java,selenium,project,Online mobile search mini project using selenium with amazon.in,https://mega.nz/file/ZkIFiIgB#-X4lgb3ErOvGhC-vj98vi_n6h2itpn_JhCpucvupcRA,100,,,,,,,,,,
114,java,selenium,hackathon,add edit employee details hackathon selenium orange hrm live,https://mega.nz/file/8w4XyawQ#y5qK_034toHeLEXWYyfJjudhoH8qczo7rSitkSDc2XY,60,,,,,,,,,,
115,java,selenium,hackathon,select dob from dropdown hackathon selenium project source code,https://mega.nz/file/xoxDxKRB#3BUtaboc9AaXKhBVefdMfb4uLcAcTWKdRuU__m_wlE4,30,,,,,,,,,,
116,java,selenium,hackathon,Drag and drop selenium mini project hackathon,https://mega.nz/file/cwgx3ATJ#tuJrHnZ4TaaRL-E8dG8Exodfq4d7Y-MsDUJ88qJ38pk,40,,,,,,,,,,
117,java,selenium,hackathon,handling prompt mini and confirm box two alternatives,https://mega.nz/folder/5w5RVa5D#YkUpgL8VxZcPV6jY2z9I0Q,75,,,,,,,,,,
118,java,selenium,hackathon,book search automation selenium project hackathon,https://mega.nz/file/h8oFiKSI#v66VYIy0Vu_F3k-uP-MMW-LwPMimsEfvrJtIEvfo41E,70,,,,,,,,,,
119,java,selenium,hackathon,online book search selenium hackathon project,https://mega.nz/file/Fo5x1QyK#s7d3WEtPns9HdG2R5togxlC9XRRi8n3goaPReX-K-H8,60,,,,,,,,,,
120,dotnet,asp.net mvc,project,airport management system or airline management system with asp.net mvc and more two projects available ,https://mega.nz/folder/00gmSTSY#-9AEkeamg8VLT2lMdguYlQ,100,,,,,,,,,,
121,dotnet,microservice,project,audit management systen microservice asp.net project,https://mega.nz/folder/Z4xmUZTZ#2JLSBNjUg8aa1ED0ciWOUA,65,,,,,,,,,,
122,dotnet,csharp,project,college management system dotnet project,https://mega.nz/folder/Nl4kyBwQ#zSwzp7lNGNeCAmwa_Fflzw,100,,,,,,,,,,
123,dotnet,csharp,project,diagnostic management or medicare system dotnet project,https://mega.nz/folder/kkxEXT4A#klNdVW5iet-z0WPw0o3Sfw,100,,,,,,,,,,
124,dotnet,asp.net,project,hospital management system asp.net and 3 more project ,https://mega.nz/folder/hgoyyBZD#EpgEBCXGWAN59kqW01nsfg,120,,,,,,,,,,
125,dotnet,csharp,project,hotel management or reservation system  dotnet project also includes restaurantsmanagement system asp mvc with bootstrap,https://mega.nz/folder/UwxCBDpK#fUCKUBucYTEkQgKnL9WafA,125,,,,,,,,,,
126,dotnet,asp.net mvc,project,online banking system application asp.net mvc and 2 more project,https://mega.nz/folder/8hpWjJwA#bohQD0W5vxH-8g47GyPQYg,110,,,,,,,,,,
127,dotnet,csharp,project,patient management system or patient tracker dotnet project,https://mega.nz/folder/NwgkwZaY#IE9D4bHGfpF_p-76aDvTtw,100,,,,,,,,,,
128,dotnet,asp,project,pharmacy management system or pharmacy pharmaceuticals supply management system dotnet project,https://mega.nz/folder/4kww1BpC#o1tyIX2rwak2CONVZ-xzaw,100,,,,,,,,,,
129,dotnet,asp,project,policy management administration system dotnet project,https://mega.nz/folder/R4oilaZD#40EPZzw-VdX-LRuTCtzMww,70,,,,,,,,,,
130,dotnet,asp,project,retail banking system dotnet project,https://mega.nz/folder/A1gknRID#foin1S446MdsvIWL0iXeyQ,100,,,,,,,,,,
131,dotnet,asp,project,online shopping eshop organic shop dotnet projects,https://mega.nz/folder/N0xAERoT#zHFHi7RtFH2OWBbuHmM5pw,80,,,,,,,,,,
132,dotnet,csharp,project,vehicle rental or reservation system dotnet project,https://mega.nz/folder/Ewp03LBB#3a6fYuUG13AsuleoJDUiPg,80,,,,,,,,,,
133,dotnet,csharp,project,agent commision management or agent management council dotnet project,https://mega.nz/file/M5gEFZqD#8xxJLFcmtMek6154sdPnJNAX7x9pVnnoq66JFaXm1U4,70,,,,,,,,,,
134,dotnet,csharp,project,book my show dotnet project,https://mega.nz/file/05o2lLLD#ezxXelv1nYzk5hM1W8WIVCJkMXsr4iponke-XsRllMM,50,,,,,,,,,,
135,dotnet,asp,project,bus reservation system dotnet project,https://mega.nz/file/logQjZaI#--Yj9hFITmqyY5m3jCWGDYPs_SZQNrzHEBaWKFiS5ME,60,,,,,,,,,,
136,dotnet,csharp,project,collateral loans management system dotnet project,https://mega.nz/file/d840kBqS#57dV1V3b_JsLAhn7iNTkiZeqamqoo6V1hTPqyr1fFuo,50,,,,,,,,,,
137,dotnet,csharp,project,corporate classifieds dotnet project,https://mega.nz/file/9spUGZaA#4fYlEvKE90ZQUnHe6y8dziCm_17Hq8U7kaDTYc74A78,60,,,,,,,,,,
138,dotnet,asp,project,ecommerce management system dotnet project,https://mega.nz/file/IxhAAZTY#iU14SStDgkctGxkob4i6CpfpjIaNzxccUId5Pp94JfU,50,,,,,,,,,,
139,dotnet,asp,project,employee management system dotnet project,https://mega.nz/file/85xyWRiJ#D0bPrZzDKxZIF-4nJ8zp8Z2lXgwn66yJJ3OCjMtgNSw,65,,,,,,,,,,
140,dotnet,asp,project,library management system asp.net mvc sqlserver dotnet project,https://mega.nz/folder/w5Z2xDxa#9u2ov76oj1zlj1jhBQuBBA  https://mega.nz/file/Z1py0bQS#NoIyCqINJQ57o2lVDSkKm3IjM0V6P8CKfaS0fNJBumw,100,,,,,,,,,,
141,dotnet,asp,project,claim management system dotnet project,https://mega.nz/file/MkxQzL7A#3EW-myM32ksuAigzWOfFXWXBJ84HRwDOAAF_UP1QC_Y,100,,,,,,,,,,
